"","Category","m","Year","COG_hat","SE"
"83","2","1","1988","16.2210372937898","55.5480268427631"
"84","2","1","1989","9.20988919035353","50.301720614064"
"85","2","1","1990","-10.8811271747958","39.297185324834"
"86","2","1","1991","26.0209233531675","37.9985411887852"
"87","2","1","1992","35.955548945404","38.1359177634583"
"88","2","1","1993","26.7374836059618","53.3560271078028"
"89","2","1","1994","41.0147283974723","39.820094713915"
"90","2","1","1995","91.4399787186948","49.1510586633787"
"91","2","1","1996","-0.486543529520644","37.6716577269029"
"92","2","1","1997","21.7125566626331","45.4018217179784"
"93","2","1","1998","-3.19204770505133","40.2385686325893"
"94","2","1","1999","43.7492212482731","34.6140974930673"
"95","2","1","2000","-25.3122375538827","29.3238324267669"
"96","2","1","2001","70.8298119015214","34.8817653140695"
"97","2","1","2002","12.6660995553933","44.1867550591788"
"98","2","1","2003","-6.27488058156781","47.4466408812808"
"99","2","1","2004","32.4876565932852","46.1699668680943"
"100","2","1","2005","-32.5211248238227","36.8294708274872"
"101","2","1","2006","43.9019160873898","43.4185532230014"
"102","2","1","2007","-9.26995241534102","33.9793394012013"
"103","2","1","2008","11.5825525812904","42.4547226610256"
"104","2","1","2009","-9.91838495446466","37.0128079085225"
"105","2","1","2010","108.226359995853","56.2043574751352"
"106","2","1","2011","29.2505271283255","44.3685798320183"
"107","2","1","2012","18.5657119915732","42.4438520182548"
"108","2","1","2013","95.9086404701851","47.4080381986535"
"109","2","1","2014","40.2740493740019","30.6556180306736"
"110","2","1","2015","13.112763571207","43.1743918953817"
"111","2","1","2016","82.8899683111013","46.7644712929112"
"112","2","1","2017","16.2210372937898","55.5480268427631"
"113","2","1","2018","43.9806580839435","37.8315711166164"
"114","2","1","2019","124.283081235072","68.9218355763927"
"115","2","2","1982","4251.72286378134","35.2679795518959"
"116","2","2","1983","4206.45228695546","40.5323030133303"
"117","2","2","1984","4183.51530661074","55.0454682433683"
"118","2","2","1985","4211.08815311347","48.8672615597331"
"119","2","2","1986","4206.89941533843","47.3869211392439"
"120","2","2","1987","4202.56079097361","52.7714323081226"
"121","2","2","1988","4248.13541726996","74.172255333186"
"122","2","2","1989","4232.3502005685","69.3218463520261"
"123","2","2","1990","4206.78932610782","53.3125487212615"
"124","2","2","1991","4274.9898536373","52.4449042733837"
"125","2","2","1992","4295.13365221915","55.5999210938843"
"126","2","2","1993","4252.13591205126","71.576705641474"
"127","2","2","1994","4287.12473421699","52.8682402667967"
"128","2","2","1995","4328.35615810157","59.7191912612189"
