"","Category","m","Year","COG_hat","SE"
"84","2","1","1989","-6.18970605327469","47.7738389038619"
"85","2","1","1990","-13.3639588622311","42.7388683250794"
"86","2","1","1991","10.1867246322315","45.9083666512076"
"87","2","1","1992","-6.35467281533956","43.1714008911872"
"88","2","1","1993","1.6727891931729","57.1600918438201"
"89","2","1","1994","6.53200113980752","42.9006431240921"
"90","2","1","1995","66.8919074661627","61.8514767342889"
"91","2","1","1996","-19.4231554172191","36.6706752624023"
"92","2","1","1997","-2.44182275806895","43.3393455637878"
"93","2","1","1998","-25.6065799111855","39.2204068662845"
"94","2","1","1999","19.9143830848211","38.0543275715098"
"95","2","1","2000","-30.9346217990937","34.0991654513896"
"96","2","1","2001","40.3971947773209","44.8635138562989"
"97","2","1","2002","-15.5796521706593","45.6270312409615"
"98","2","1","2003","-37.4309818194154","51.1215840022755"
"99","2","1","2004","2.38404229834878","51.3843170333649"
"100","2","1","2005","-34.9697769890911","36.3399371555322"
"101","2","1","2006","50.7748254609591","58.9600623824638"
"102","2","1","2007","-23.8041224171575","36.5772108168613"
"103","2","1","2008","-3.51454760588297","43.4533800463115"
"104","2","1","2009","-14.9289763298861","41.7409066859112"
"105","2","1","2010","59.9484732191595","58.4163846693877"
"106","2","1","2011","2.57181200435905","44.785232921924"
"107","2","1","2012","4.74979727216372","43.5721115460976"
"108","2","1","2013","43.123131694001","52.2984240078333"
"109","2","1","2014","17.1364694351357","37.1637041011797"
"110","2","1","2015","-23.4068118861969","40.2519778531819"
"111","2","1","2016","58.2248631312218","55.1153159094745"
"112","2","1","2017","-7.95471889348438","51.685445090231"
"113","2","1","2018","19.4599170712164","44.7591526131531"
"114","2","1","2019","75.637639652138","65.8126297736989"
"115","2","2","1982","4255.884370395","42.8160498813533"
"116","2","2","1983","4187.01550136864","46.6839757253327"
"117","2","2","1984","4176.22217269138","49.9087088667897"
"118","2","2","1985","4172.64529213563","45.2724567990088"
"119","2","2","1986","4186.3177567126","47.0669355938396"
"120","2","2","1987","4172.41424853526","49.6067340490321"
"121","2","2","1988","4201.372187092","65.3363898181279"
"122","2","2","1989","4201.54695401823","61.5585073126303"
"123","2","2","1990","4185.73764998747","54.5543848494903"
"124","2","2","1991","4235.50399962332","58.506112691781"
"125","2","2","1992","4216.51420248964","58.7082590032937"
"126","2","2","1993","4200.31976418175","70.8850184960673"
