"","m","Year","COG_hat","SE"
"48","1","2011","233.788098970222","34.8625653827989"
"49","1","2012","299.650357115386","34.0851625481381"
"50","1","2013","311.605445542132","38.302702332774"
"51","1","2014","249.340428682148","36.7996275092547"
"52","1","2015","292.597214008785","46.2284162215925"
"53","1","2016","222.135548955402","38.8879879433183"
"54","1","2017","294.103715783069","58.777246591444"
"55","1","2018","190.723319069476","43.5739495375274"
"56","1","2019","308.210169680747","40.7332920808007"
"57","1","2020","294.103715783069","58.777246591444"
"58","1","2021","265.000591351635","43.2594634817728"
"59","2","1964","4423.55547291724","39.7826696136742"
"60","2","1965","4430.83469835037","40.7721073456288"
"61","2","1966","4422.33131249537","41.13218487475"
"62","2","1967","4417.11804573357","40.7529531534266"
"63","2","1968","4436.86767926083","38.3413250818362"
"64","2","1969","4406.43261587815","39.3437833694818"
"65","2","1970","4439.09134107516","37.5200682482826"
"66","2","1971","4462.82561571111","30.0883427468198"
"67","2","1972","4506.50711009636","16.8951491608165"
"68","2","1973","4429.51083780586","35.2987869146155"
"69","2","1974","4470.05841047076","26.5785834343037"
"70","2","1975","4464.2488158106","28.3534522370509"
"71","2","1976","4358.93553502069","32.4897163676973"
"72","2","1977","4376.42207174949","32.5651212135151"
"73","2","1978","4401.34918629625","24.7737423612638"
"74","2","1979","4431.49546125717","23.700641505088"
"75","2","1980","4391.23091572698","31.7999638015303"
"76","2","1981","4369.31117252035","27.4859313743732"
"77","2","1982","4412.65692971253","26.4928153263999"
"78","2","1983","4394.45429868313","28.9389873630771"
"79","2","1984","4369.28112703388","31.2872071597211"
"80","2","1985","4390.36341843524","28.1463292162376"
"81","2","1986","4437.56287448821","27.6052693716842"
"82","2","1987","4466.2755162533","23.4220582671839"
"83","2","1988","4501.02608385156","23.7061897260951"
"84","2","1989","4391.82440828283","29.5286864085041"
"85","2","1990","4439.77661521068","26.6028825865706"
"86","2","1991","4453.1747693261","27.2350441410203"
"87","2","1992","4473.0978873247","22.9643192509988"
"88","2","1993","4489.21247644196","20.5967710919183"
"89","2","1994","4491.81222470898","19.2617052253981"
"90","2","1995","4453.91423221193","21.9237433625131"
"91","2","1996","4410.63575002229","28.065599148077"
"92","2","1997","4469.13188335657","24.2279939357894"
"93","2","1998","4475.86296779878","22.8675512335069"
"94","2","1999","4447.37231121705","23.1686275533888"
"95","2","2000","4441.9878585805","28.679325312795"
"96","2","2001","4467.32001339258","22.2596850919267"
"97","2","2002","4438.67495968402","26.2197058492132"
"98","2","2003","4362.54474136422","33.9759260230594"
"99","2","2004","4428.64735100872","26.8171703454907"
"100","2","2005","4440.41800381552","27.382583550011"
"101","2","2006","4429.36044363097","27.9540353296997"
"102","2","2007","4448.98286163007","26.2184532347899"
"103","2","2008","4445.04365636381","26.8282511983565"
"104","2","2009","4411.7702062714","29.721437348608"
"105","2","2010","4453.70101829446","22.8415578620851"
"106","2","2011","4391.1390940047","27.8119156722725"
"107","2","2012","4440.695611648","26.0208946653032"
"108","2","2013","4460.84583577875","24.7265348379728"
"109","2","2014","4421.59569394517","27.5540607357999"
"110","2","2015","4424.80276252888","31.5659890918111"
"111","2","2016","4404.25506347468","30.2345604374232"
"112","2","2017","4430.83469835037","40.7721073456288"
"113","2","2018","4378.28460498236","30.2817719438987"
"114","2","2019","4438.51933277455","27.5676274753362"
"115","2","2020","4430.83469835037","40.7721073456288"
"116","2","2021","4433.21718313849","31.8136349088233"
