"","Category","m","Year","COG_hat","SE"
"84","2","1","1989","-14.7978238054904","47.2470714771603"
"85","2","1","1990","-21.8774592455501","42.4704338966883"
"86","2","1","1991","1.81904923124786","45.3846467555633"
"87","2","1","1992","-14.9714129793753","43.3293995026073"
"88","2","1","1993","-8.41102302847522","56.4121448063024"
"89","2","1","1994","-2.48269246169631","42.5955811813224"
"90","2","1","1995","52.8311078281449","61.6879193732567"
"91","2","1","1996","-26.5533058836314","36.4096270584687"
"92","2","1","1997","-12.1856854682134","41.8597804360804"
"93","2","1","1998","-33.2042436562975","38.6913258662666"
"94","2","1","1999","11.687937711761","37.8600930531363"
"95","2","1","2000","-37.7467740441355","33.6749617780453"
"96","2","1","2001","30.9861414299165","44.7290496643201"
"97","2","1","2002","-24.8394373887501","45.3072928677047"
"98","2","1","2003","-44.1166447324264","51.8286275016755"
"99","2","1","2004","-9.04579793218267","50.7033261816779"
"100","2","1","2005","-42.2066940629868","36.3069957635418"
"101","2","1","2006","36.7893732567612","57.376623425863"
"102","2","1","2007","-31.4608584830495","36.0696100906509"
"103","2","1","2008","-11.8103030734483","43.008628747696"
"104","2","1","2009","-24.405745618348","40.6151708291819"
"105","2","1","2010","37.6816406764965","53.9403068637542"
"106","2","1","2011","-8.06739048293898","43.5004402504705"
"107","2","1","2012","-5.12329192294778","42.7805988257666"
"108","2","1","2013","32.3642215300849","51.426371470116"
"109","2","1","2014","9.0603720893751","36.9284367990266"
"110","2","1","2015","-32.120638106486","39.1154184408937"
"111","2","1","2016","47.4323205851628","54.8294816316054"
"112","2","1","2017","-17.4130837125635","50.2228781251745"
"113","2","1","2018","9.61941634481114","43.044302630362"
"114","2","1","2019","54.8015898499684","62.6405257301761"
"115","2","2","1982","4241.49856183539","41.5373305672281"
"116","2","2","1983","4175.35586067504","45.8973698068587"
"117","2","2","1984","4166.81745810306","49.9451731829402"
"118","2","2","1985","4164.53141993967","45.5274168367541"
"119","2","2","1986","4178.0642353517","47.113489105663"
"120","2","2","1987","4163.83428542363","49.7951350964673"
"121","2","2","1988","4190.85144692257","64.9236766559685"
"122","2","2","1989","4191.51396979056","61.4130749920739"
"123","2","2","1990","4175.75965581062","54.6499410006294"
"124","2","2","1991","4225.78693544633","58.5944102031526"
"125","2","2","1992","4205.72581640582","59.4105023718184"
"126","2","2","1993","4189.044995246","70.7718725258624"
"127","2","2","1994","4219.39453318557","55.8417950983113"
"128","2","2","1995","4256.38039585211","73.3034009883812"
"129","2","2","1996","4192.11593957382","49.1839286731055"
"130","2","2","1997","4201.15830613733","52.3555256830282"
"131","2","2","1998","4171.14243322229","51.0802468196735"
"132","2","2","1999","4242.72397622407","49.2220872343592"
"133","2","2","2000","4172.63464261495","44.8094097762307"
"134","2","2","2001","4270.19534820606","57.8918392711203"
"135","2","2","2002","4180.81668102658","58.1070591380699"
"136","2","2","2003","4136.68735697355","66.134120685117"
"137","2","2","2004","4193.99308600121","65.4436370826528"
"138","2","2","2005","4158.15700007657","48.8250591731074"
"139","2","2","2006","4242.56077601221","66.7141820814096"
"140","2","2","2007","4185.19600447938","49.4382833970391"
"141","2","2","2008","4202.81009682673","57.0794055299796"
"142","2","2","2009","4179.75372777865","51.9963745846802"
"143","2","2","2010","4239.41482232484","62.8431920902826"
"144","2","2","2011","4195.76502449734","55.4377758210886"
"145","2","2","2012","4200.11743084336","54.6094037059926"
"146","2","2","2013","4257.22357878979","64.143053935618"
"147","2","2","2014","4244.95577969403","49.1828674031659"
"148","2","2","2015","4177.91794500938","51.5238759342344"
"149","2","2","2016","4269.62087686035","67.8804143730581"
"150","2","2","2017","4190.85144692257","64.9236766559685"
"151","2","2","2018","4239.87806181568","52.7567966659053"
"152","2","2","2019","4243.92324342875","68.0814352687405"
"153","3","1","1982","400.69352144408","23.5600329917941"
"154","3","1","1983","385.614410587362","23.7804522631831"
"155","3","1","1984","391.388043833751","24.4380293399073"
"156","3","1","1985","357.072828498449","22.058769450897"
"157","3","1","1986","371.081160999195","24.5231030813683"
"158","3","1","1987","383.401265015687","22.7364895206235"
"159","3","1","1988","395.31324696396","27.4189092081576"
"160","3","1","1989","391.076956253444","23.0241443017043"
"161","3","1","1990","412.952995680483","24.038277730713"
"162","3","1","1991","381.464744116032","24.1348132681298"
"163","3","1","1992","395.6700543703","24.0700840300234"
"164","3","1","1993","401.714313382165","20.4710466051748"
"165","3","1","1994","405.782154439461","20.7617662012925"
"166","3","1","1995","393.223122870301","17.589366857235"
"167","3","1","1996","379.366423859747","21.8486853005275"
"168","3","1","1997","409.574207979299","22.7398096509572"
"169","3","1","1998","403.29942410864","21.616735579107"
"170","3","1","1999","401.220985822717","22.5033849467959"
"171","3","1","2000","418.547186910407","24.3940270565527"
"172","3","1","2001","378.038545173803","20.9753568518956"
"173","3","1","2002","400.254614094072","20.0084728694745"
"174","3","1","2003","381.590610843323","23.763094966919"
"175","3","1","2004","370.10939307999","16.9202706058447"
"176","3","1","2005","407.925683288002","22.7879997348376"
"177","3","1","2006","373.841542574779","19.8039234011437"
"178","3","1","2007","416.829451799357","24.346913978827"
"179","3","1","2008","380.219000773557","21.1746405085408"
"180","3","1","2009","403.649962833927","23.1076530286758"
"181","3","1","2010","402.443519338879","19.5022915685059"
"182","3","1","2011","388.823435576604","19.2073011001278"
"183","3","1","2012","406.929399917951","18.6658777861442"
"184","3","1","2013","396.966668552018","24.9815776643066"
"185","3","1","2014","389.571584187827","23.2742952489732"
"186","3","1","2015","418.819179236841","26.6151592514636"
"187","3","1","2016","396.171580925571","27.2898437672256"
"188","3","1","2017","395.31324696396","27.4189092081576"
"189","3","1","2018","401.391091596387","25.184856757701"
"190","3","1","2019","431.191380410614","25.4036815270467"
"191","3","2","1982","4525.96510092048","14.6145961571204"
"192","3","2","1983","4524.38874773393","16.1317223210065"
"193","3","2","1984","4519.00762600161","18.230171085296"
"194","3","2","1985","4510.48101778676","17.131301731794"
"195","3","2","1986","4511.40234182157","18.9238071480371"
"196","3","2","1987","4518.56156178408","16.4682710086818"
"197","3","2","1988","4524.90309697145","16.3960452142292"
"198","3","2","1989","4528.2601614895","15.7240037239354"
"199","3","2","1990","4526.13147048418","16.5459132009179"
"200","3","2","1991","4522.62089794923","16.2846733875005"
"201","3","2","1992","4520.55863228177","16.8254905717801"
"202","3","2","1993","4529.65812246333","14.2513622288677"
"203","3","2","1994","4525.55419003586","15.1733183251221"
"204","3","2","1995","4529.35487522393","12.3011669006685"
"205","3","2","1996","4517.10175705946","15.5989056712009"
"206","3","2","1997","4532.06848926159","15.1724363866446"
"207","3","2","1998","4523.45590892957","15.4322566856618"
"208","3","2","1999","4525.53709952561","14.3916683509497"
"209","3","2","2000","4528.42165604331","15.5145531008195"
"210","3","2","2001","4524.35151967988","14.5710492041727"
"211","3","2","2002","4533.27278458689","15.4394487781277"
"212","3","2","2003","4522.75623774516","16.2124360468907"
"213","3","2","2004","4526.18589004582","13.4181060886059"
"214","3","2","2005","4524.32803263223","16.3603760107625"
"215","3","2","2006","4526.856133347","15.2940925816917"
"216","3","2","2007","4528.69034555798","16.2404943528356"
"217","3","2","2008","4523.04075362199","15.6365484404057"
"218","3","2","2009","4526.00353729386","14.7327770265975"
"219","3","2","2010","4527.87296646346","13.1837740670254"
"220","3","2","2011","4528.78574936735","13.3256999220764"
"221","3","2","2012","4532.11410578714","13.2501386878509"
"222","3","2","2013","4523.72827183138","15.4636710623173"
"223","3","2","2014","4522.56152254283","15.7261692100072"
"224","3","2","2015","4529.11605144165","15.8564090651116"
"225","3","2","2016","4528.24408363587","16.056370445065"
"226","3","2","2017","4524.90309697145","16.3960452142292"
"227","3","2","2018","4530.9501140813","15.3022327829616"
"228","3","2","2019","4534.1864507775","13.0983782439983"
