"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"3","1989","Stratum_1"," [count]",692039.519312885,161704.32162965,0.238755449590735
"1","1990","Stratum_1"," [count]",6067511.85998198,1590966.71694368,0.285719317701529
"2","1990","Stratum_1"," [count]",2229128.8734439,495785.86421291,0.239468340751539
"3","1990","Stratum_1"," [count]",1007720.04194191,224630.410122316,0.226800232354991
"1","1991","Stratum_1"," [count]",8293764.5071127,2665562.34001276,0.345208814450501
"2","1991","Stratum_1"," [count]",384262.887739225,125621.38221444,0.354227795713115
"3","1991","Stratum_1"," [count]",813178.223965258,208423.462381778,0.263598611952618
"1","1992","Stratum_1"," [count]",7535443.66222395,2271597.51085899,0.326662651277728
"2","1992","Stratum_1"," [count]",488327.361048235,153290.493928678,0.343574553566951
"3","1992","Stratum_1"," [count]",1036964.58160644,211708.355314393,0.208951033754417
"1","1993","Stratum_1"," [count]",2432191.60386518,887581.526749332,0.404811748629913
"2","1993","Stratum_1"," [count]",368094.512907185,155822.336920865,0.476228824347887
"3","1993","Stratum_1"," [count]",983859.762423003,204552.989109409,0.211110941371183
"1","1994","Stratum_1"," [count]",12291334.012606,3286143.79865118,0.288982831923057
"2","1994","Stratum_1"," [count]",705875.301018295,205022.133471284,0.316178055827651
"3","1994","Stratum_1"," [count]",1458700.10816446,248806.344399503,0.172865420728584
"1","1995","Stratum_1"," [count]",10670950.1141737,2528599.20637254,0.263832850964292
"2","1995","Stratum_1"," [count]",1871136.06758835,446649.15504938,0.258038766173074
"3","1995","Stratum_1"," [count]",1463444.09226848,303252.359529024,0.209280657023549
"1","1996","Stratum_1"," [count]",8038181.50039496,2348547.82498423,0.313881092017411
"2","1996","Stratum_1"," [count]",1460603.41842732,327819.18381358,0.239864090894225
"3","1996","Stratum_1"," [count]",673165.497794055,173697.258797769,0.263757158779642
"1","1997","Stratum_1"," [count]",6352281.16648297,1949959.70641346,0.327507936378228
"2","1997","Stratum_1"," [count]",501314.54612424,150250.446486007,0.323867799545827
"3","1997","Stratum_1"," [count]",960103.141579337,218801.698164248,0.232308990041508
"1","1998","Stratum_1"," [count]",4973252.96247516,1581084.96018598,0.34137717908551
"2","1998","Stratum_1"," [count]",598990.280504999,186866.674212703,0.33833089463103
"3","1998","Stratum_1"," [count]",1228882.90369853,241728.307258664,0.199633210207003
"1","1999","Stratum_1"," [count]",11704839.9231926,2850313.13871734,0.260200994303675
"2","1999","Stratum_1"," [count]",552941.203351413,136086.720275776,0.262207095356744
"3","1999","Stratum_1"," [count]",1182239.24697842,240054.180740567,0.205387012419682
"1","2000","Stratum_1"," [count]",5230057.42124814,1529604.98079354,0.312296339367106
"2","2000","Stratum_1"," [count]",977538.905043411,243223.096501993,0.266592513664512
"3","2000","Stratum_1"," [count]",643462.239908907,168276.002545253,0.266604142660611
"1","2001","Stratum_1"," [count]",7554726.49900337,1943381.71574194,0.279727591611143
"2","2001","Stratum_1"," [count]",872745.563631142,216878.46153261,0.266753286365015
"3","2001","Stratum_1"," [count]",1185834.24613011,264864.961635842,0.22774411263901
"1","2002","Stratum_1"," [count]",10470247.2993884,2743112.04294988,0.283963542424881
"2","2002","Stratum_1"," [count]",1774169.99767854,366113.369975126,0.223534612686862
"3","2002","Stratum_1"," [count]",1247653.2132802,256712.868578001,0.208326909498548
"1","2003","Stratum_1"," [count]",26380249.175354,6160191.93991491,0.262188361170593
"2","2003","Stratum_1"," [count]",683720.692496763,200408.573083218,0.331032819301307
"3","2003","Stratum_1"," [count]",428102.16564353,129074.553076379,0.311193574378772
"1","2004","Stratum_1"," [count]",11945386.8187999,2959372.06215138,0.275507941848793
"2","2004","Stratum_1"," [count]",1440735.9007878,338107.756151673,0.256233477906817
"3","2004","Stratum_1"," [count]",1670700.61461234,308930.261593397,0.186529337862296
"1","2005","Stratum_1"," [count]",13770852.9343533,3720693.75973626,0.292956083583541
"2","2005","Stratum_1"," [count]",910665.722913323,266122.669542239,0.317232964165515
"3","2005","Stratum_1"," [count]",1410691.13245663,298872.326091745,0.215063225806929
"1","2006","Stratum_1"," [count]",20065342.2795289,4190068.7140865,0.23089599440854
"2","2006","Stratum_1"," [count]",1165955.40660512,284347.388058237,0.261803276558857
"3","2006","Stratum_1"," [count]",1202248.92188247,212336.092013681,0.178635768566848
"1","2007","Stratum_1"," [count]",12348288.0638967,3169197.859224,0.277751695304185
"2","2007","Stratum_1"," [count]",831066.812075526,218376.186565306,0.2835778751591
